Year,Week,Game.Date,Team,Actual_Team_Points,Predicted_Team_Points,Opponent,Actual_Opponent_Points,Predicted_Opponent_Points,Predicted_Total_Points,Actual_Total_Points
2003,Conf. Champ.,2004-01-18,New England Patriot,24,22.7302318046456,Indianapolis Colts,14,23.9370065078201,46.6672383124657,38
2003,SuperBowl,2004-02-01,New England Patriot,32,22.0992564437197,Carolina Panthers,29,18.1113822720992,40.2106387158189,61
2004,Wild Card,2005-01-08,Seattle Seahawks,20,24.2688231834761,Rams,27,21.4485508107139,45.7173739941899,47
2004,Wild Card,2005-01-08,Chargers,17,23.1972544514672,New York Jets,20,22.7832251565212,45.9804796079884,37
2004,Wild Card,2005-01-09,Denver Broncos,24,22.04172090568,Indianapolis Colts,49,27.1792988018602,49.2210197075402,73
2004,Wild Card,2005-01-09,Minnesota Vikings,31,27.6073637984623,Green Bay Packers,17,23.6396451895322,51.2470089879945,48
2004,Conf. Champ.,2005-01-23,Philadelphia Eagles,27,22.8451841958483,Atlanta Falcons,10,18.4696276712947,41.3148118671431,37
2004,Conf. Champ.,2005-01-23,Pittsburgh Steelers,27,20.7173030751985,New England Patriot,41,22.152192005333,42.8694950805315,68
2004,SuperBowl,2005-02-06,Philadelphia Eagles,21,22.2694189937734,New England Patriot,24,22.6749744999034,44.9443934936767,45
2005,Wild Card,2006-01-07,Washington Redskins,17,20.8418477060301,Tampa Bay Buccaneer,10,21.3265312991938,42.1683790052239,27
2005,Wild Card,2006-01-07,New England Patriot,28,22.9570891541922,Jacksonville Jaguar,3,22.7551431234591,45.7122322776513,31
2005,Wild Card,2006-01-08,New York Giants,0,22.2929678882171,Carolina Panthers,23,20.0251853322652,42.3181532204823,23
2005,Wild Card,2006-01-08,Pittsburgh Steelers,31,20.5230568891694,Cincinnati Bengals,17,23.4968366443647,44.0198935335342,48
2005,Division,2006-01-14,Washington Redskins,10,19.7509422668506,Seattle Seahawks,20,23.5535871929914,43.304529459842,30
2005,Division,2006-01-14,New England Patriot,13,24.1010772739456,Denver Broncos,27,22.886449776296,46.9875270502416,40
2005,Division,2006-01-15,Chicago Bears,21,17.1661543364263,Carolina Panthers,29,20.9259397325752,38.0920940690016,50
2005,Division,2006-01-15,Pittsburgh Steelers,21,21.4547721001601,Indianapolis Colts,18,23.8441364945145,45.2989085946746,39
2005,Conf. Champ.,2006-01-22,Pittsburgh Steelers,34,20.9003102912435,Denver Broncos,17,21.9870815952287,42.8873918864721,51
2005,Conf. Champ.,2006-01-22,Seattle Seahawks,34,23.6284624351784,Carolina Panthers,14,20.9848693216638,44.6133317568422,48
2005,SuperBowl,2006-02-05,Seattle Seahawks,10,22.6554244752561,Pittsburgh Steelers,21,20.4874922670479,43.142916742304,31
2006,Wild Card,2007-01-06,Seattle Seahawks,21,20.416998969129,Dallas Cowboys,20,22.8029211358924,43.2199201050214,41
2006,Wild Card,2007-01-06,Kansas City Chiefs,8,21.4496029982287,Indianapolis Colts,23,26.7895001132926,48.2391031115212,31
2006,Wild Card,2007-01-07,New York Jets,16,18.6927505567085,New England Patriot,37,23.3740221887484,42.066772745457,53
2006,Wild Card,2007-01-07,Philadelphia Eagles,23,22.7150268728162,New York Giants,20,20.789198209119,43.5042250819352,43
2006,Division,2007-01-13,Baltimore Ravens,6,21.546802076328,Indianapolis Colts,15,22.5733763532832,44.1201784296112,21
2006,Division,2007-01-13,Philadelphia Eagles,24,22.9440661684321,New Orleans Saints,27,23.7029631650083,46.6470293334404,51
2006,Division,2007-01-14,Seattle Seahawks,24,18.2869332393732,Chicago Bears,27,18.8547519470471,37.1416851864203,51
2006,Division,2007-01-14,Chargers,21,20.1214162260314,New England Patriot,24,20.6109700370708,40.7323862631022,45
2006,Conf. Champ.,2007-01-21,New Orleans Saints,14,21.6044058524982,Chicago Bears,39,18.618384570044,40.2227904225421,53
2006,Conf. Champ.,2007-01-21,New England Patriot,34,23.233067321241,Indianapolis Colts,38,22.4572400203495,45.6903073415905,72
2006,SuperBowl,2007-02-04,Indianapolis Colts,29,23.4303894055058,Chicago Bears,17,19.0470158581404,42.4774052636462,46
2007,Wild Card,2008-01-05,Washington Redskins,14,20.1467766765429,Seattle Seahawks,35,23.8373169497484,43.9840936262912,49
2007,Wild Card,2008-01-05,Pittsburgh Steelers,29,23.409255351792,Jacksonville Jaguar,31,22.4546275540041,45.8638829057961,60
