Date,Team,Sum_Rushing Score
01/01/06,ATL,1.05819489507111
01/01/06,BUF,1.5166105452868
01/01/06,CAR,2.37156435398779
01/01/06,CHI,1.56564837359069
01/01/06,CIN,1.59655621494854
01/01/06,CLE,0.853918870238751
01/01/06,CLT,0.780678325663213
01/01/06,CRD,1.27268257043743
01/01/06,DAL,0.857795345477687
01/01/06,DET,1.19462229957627
01/01/06,GNB,1.79049421908318
01/01/06,HTX,1.22965858399453
01/01/06,JAX,1.40200683728908
01/01/06,KAN,1.25212593304314
01/01/06,MIA,1.10583249654431
01/01/06,MIN,1.79160759605093
01/01/06,NOR,1.35169982280445
01/01/06,NWE,1.87032294873334
01/01/06,NYJ,1.00509432636655
01/01/06,OTI,0.974948047535038
01/01/06,PHI,0.932415632894179
01/01/06,PIT,1.89048200635789
01/01/06,RAM,1.56516343587381
01/01/06,RAV,1.45354106355282
01/01/06,SEA,0.974743548664113
01/01/06,SFO,1.07149185053645
01/01/06,TAM,1.57344275636768
01/01/06,WAS,1.15708640576818
01/01/12,ATL,1.93970598737657
01/01/12,BUF,2.03088889776799
01/01/12,CAR,1.66625922471707
01/01/12,CHI,0.952515600323175
01/01/12,CIN,1.30178709163196
01/01/12,CLE,0.93112564290807
01/01/12,CLT,1.12459081911844
01/01/12,CRD,1.61066766811593
01/01/12,DAL,0.867853982742523
01/01/12,DEN,1.72439754684142
01/01/12,DET,1.25484852852639
01/01/12,GNB,1.13750518793881
01/01/12,HTX,1.3751143961859
01/01/12,JAX,1.85337670597948
01/01/12,KAN,1.47139298481649
01/01/12,MIA,1.19547467037052
01/01/12,MIN,1.46915478524329
01/01/12,NOR,2.02494323439928
01/01/12,NWE,2.00663615536958
01/01/12,NYG,1.26255823987201
01/01/12,NYJ,1.34365638125492
01/01/12,OTI,1.13474013584663
01/01/12,PHI,0.99460002373085
01/01/12,PIT,1.1125680031109
01/01/12,RAI,1.59887508856215
01/01/12,RAM,1.08795016861848
01/01/12,RAV,1.45368663793436
01/01/12,SDG,1.80348635289502
01/01/12,SEA,1.61389631189395
01/01/12,SFO,1.64487868163151
01/01/12,TAM,1.3641636865805
01/01/12,WAS,1.05257543919121
01/01/17,ATL,1.04596785846889
01/01/17,BUF,1.72846728094716
01/01/17,CAR,1.62827255599374
01/01/17,CHI,1.63887273846314
01/01/17,CIN,1.49580594789813
01/01/17,CLE,1.83230363598727
01/01/17,CLT,1.00735117899156
01/01/17,CRD,0.947865627418753
01/01/17,DAL,1.45390800228424
01/01/17,DEN,1.99009195011646
01/01/17,DET,0.741190757065867
01/01/17,GNB,1.83902766829671
01/01/17,HTX,1.18622443894825
01/01/17,JAX,1.95026132715349
01/01/17,KAN,1.5225036208379
01/01/17,MIA,1.13069353468663
01/01/17,MIN,1.38662182801012
01/01/17,NOR,0.915926263255377
01/01/17,NWE,1.63316564872056
01/01/17,NYG,1.0780503774663
01/01/17,NYJ,1.20880934536059
01/01/17,OTI,1.33405168987289
01/01/17,PHI,1.61807057988226
01/01/17,PIT,0.920787794379985
01/01/17,RAI,1.09879453514749
01/01/17,RAM,2.13576186586125
01/01/17,RAV,1.05646906162301
01/01/17,SDG,1.36279340552998
01/01/17,SEA,2.25791930660148
01/01/17,SFO,1.58477724500169
01/01/17,TAM,1.0085452956439
01/01/17,WAS,0.555533422813891
01/02/05,ATL,1.43350373090377
01/02/05,BUF,1.4098301208693
01/02/05,CAR,0.330666839160227
01/02/05,CHI,0.828572440496018
01/02/05,CIN,1.58951890532166
01/02/05,CLE,1.49707700904002
01/02/05,CLT,0.776972590136691
01/02/05,CRD,1.4351099840853
01/02/05,DAL,1.05425414856303
01/02/05,DEN,1.49118803450267
01/02/05,DET,0.969030291639864
01/02/05,GNB,1.58220223056834
01/02/05,HTX,1.11448655771477
01/02/05,JAX,1.23492593489497
01/02/05,KAN,1.33533766611042
01/02/05,MIA,0.760587660116831
01/02/05,MIN,1.18629951795895
01/02/05,NOR,1.66452072989154
01/02/05,NWE,2.22968357715577
01/02/05,NYG,0.752236751395455
01/02/05,NYJ,1.28478680900276
01/02/05,OTI,0.953943509733525
01/02/05,PHI,0.68320886742816
01/02/05,PIT,1.79619653429796
01/02/05,RAI,1.52771589872903
01/02/05,RAM,1.13910847686333
01/02/05,RAV,1.63486513079447
01/02/05,SDG,1.84884801299119
01/02/05,SEA,1.08446978008716
01/02/05,SFO,0.682611222001821
01/02/05,TAM,1.13491664867988
01/02/05,WAS,1.48409817450177
01/02/11,ATL,1.7701766913235
01/02/11,BUF,1.21581102335164
01/02/11,CAR,1.95650920066328
01/02/11,CHI,0.973766351008639
01/02/11,CIN,1.91300766266686
01/02/11,CLE,1.65731557680437
01/02/11,CLT,0.951531643215654
01/02/11,CRD,1.21466620766475
01/02/11,DAL,1.78160853752925
01/02/11,DEN,1.48429426699534
01/02/11,DET,1.9886220536802
01/02/11,GNB,1.11865327685238
01/02/11,HTX,1.4101309346957
01/02/11,JAX,1.90498691653716
01/02/11,KAN,1.31445879451348
01/02/11,MIA,1.14870533519693
01/02/11,MIN,1.19983585185284
01/02/11,NOR,1.72056106368686
01/02/11,NWE,2.83665088170671
01/02/11,NYG,0.956452502349637
01/02/11,NYJ,2.11527823528824
01/02/11,OTI,1.13168583844882
01/02/11,PHI,1.66955212158093
01/02/11,PIT,1.34703483213545
01/02/11,RAI,2.35075896127898
01/02/11,RAM,1.04263490043881
01/02/11,RAV,1.53721125059743
01/02/11,SDG,1.21891798357041
01/02/11,SEA,2.2191975684505
01/02/11,SFO,1.02192324323017
