Date,Team,Sum_Rushing Score
01/01/06,ATL,0.584290615224207
01/01/06,BUF,1.24360990431972
01/01/06,CAR,1.7700039737877
01/01/06,CHI,1.07972261168255
01/01/06,CIN,0.88975974745671
01/01/06,CLE,0.524905562496503
01/01/06,CLT,0.419566873121932
01/01/06,CRD,0.892778908710117
01/01/06,DAL,0.530480928209975
01/01/06,DET,0.780508216672078
01/01/06,GNB,1.16869234269967
01/01/06,HTX,0.830899380508499
01/01/06,JAX,1.07878037625014
01/01/06,KAN,1.09762945933002
01/01/06,MIA,0.887221973227914
01/01/06,MIN,1.40470993235314
01/01/06,NOR,0.772009717628809
01/01/06,NWE,1.04909026409628
01/01/06,NYJ,0.742334645068125
01/01/06,OTI,0.69897656355691
01/01/06,PHI,0.637804041695292
01/01/06,PIT,1.54691669576239
01/01/06,RAM,1.07902514685866
01/01/06,RAV,0.918483544207867
01/01/06,SEA,0.698682441726349
01/01/06,SFO,0.837831315857613
01/01/06,TAM,1.32534920137457
01/01/06,WAS,0.960938241372221
01/01/12,ATL,1.54835171016313
01/01/12,BUF,1.52331393922267
01/01/12,CAR,1.23993622890485
01/01/12,CHI,0.690680700135133
01/01/12,CIN,0.956736204963353
01/01/12,CLE,0.666555367854316
01/01/12,CLT,0.756879848527041
01/01/12,CRD,1.17723555358404
01/01/12,DAL,0.59519244759087
01/01/12,DEN,1.30550935335196
01/01/12,DET,0.903795078913877
01/01/12,GNB,0.771445723200941
01/01/12,HTX,1.03944069816497
01/01/12,JAX,1.32310126335406
01/01/12,KAN,1.0201502472556
01/01/12,MIA,0.83682841652152
01/01/12,MIN,1.01762582388409
01/01/12,NOR,1.51660793688632
01/01/12,NWE,1.49595972538634
01/01/12,NYG,0.912490717918326
01/01/12,NYJ,1.00395979241203
01/01/12,OTI,0.768327072742553
01/01/12,PHI,0.73814693294959
01/01/12,PIT,0.871200807055499
01/01/12,RAI,1.16393492401
01/01/12,RAM,0.843434812685426
01/01/12,RAV,1.12806085777741
01/01/12,SDG,1.39471213616763
01/01/12,SEA,1.18087708042066
01/01/12,SFO,1.21582151486998
01/01/12,TAM,0.899208330449577
01/01/12,WAS,0.803536318022038
01/01/17,ATL,1.04848467632399
01/01/17,BUF,1.62771342546285
01/01/17,CAR,1.59899440357784
01/01/17,CHI,1.61267976923951
01/01/17,CIN,1.52861076670467
01/01/17,CLE,1.86240873103107
01/01/17,CLT,0.99862861197673
01/01/17,CRD,0.921829790144134
01/01/17,DAL,1.37388104512025
01/01/17,DEN,1.96548395668089
01/01/17,DET,0.755639575691736
01/01/17,GNB,1.77045241443244
01/01/17,HTX,1.12892555710534
01/01/17,JAX,1.91406063058681
01/01/17,KAN,1.46244141900116
01/01/17,MIA,1.0572323827154
01/01/17,MIN,1.38764860785227
01/01/17,NOR,0.981231852351595
01/01/17,NWE,1.60531163098183
01/01/17,NYG,1.08990481273152
01/01/17,NYJ,1.15808380070916
01/01/17,OTI,1.31977793059084
01/01/17,PHI,1.58582314223773
01/01/17,PIT,0.886870953583429
01/01/17,RAI,1.01604917910593
01/01/17,RAM,1.95227634543448
01/01/17,RAV,1.06204225473989
01/01/17,SDG,1.3568849228192
01/01/17,SEA,2.10998771027663
01/01/17,SFO,1.54283978197458
01/01/17,TAM,1.00017027629026
01/01/17,WAS,0.515946672824705
01/02/05,ATL,1.4026399749998
01/02/05,BUF,1.36667541628798
01/02/05,CAR,0.30856479487897
01/02/05,CHI,0.871195964611399
01/02/05,CIN,1.63965566006491
01/02/05,CLE,1.30544062816128
01/02/05,CLT,0.59902749663884
01/02/05,CRD,1.21130134378788
01/02/05,DAL,1.02026907632204
01/02/05,DEN,1.49027301958029
01/02/05,DET,0.890798395614848
01/02/05,GNB,1.24098263899271
01/02/05,HTX,1.11177316091822
01/02/05,JAX,1.10096385576744
01/02/05,KAN,1.25350770511672
01/02/05,MIA,0.767914605245583
01/02/05,MIN,1.02709140351813
01/02/05,NOR,1.55981837286176
01/02/05,NWE,2.0308468189898
01/02/05,NYG,0.755228042166715
01/02/05,NYJ,1.17671167503373
01/02/05,OTI,0.867878804861572
01/02/05,PHI,0.650362016998667
01/02/05,PIT,1.56607926300862
01/02/05,RAI,1.35198672508017
01/02/05,RAM,0.955399550620189
01/02/05,RAV,1.51476607482579
01/02/05,SDG,1.64606652282951
01/02/05,SEA,1.06617216640342
01/02/05,SFO,0.649454083903837
01/02/05,TAM,0.94903139423872
01/02/05,WAS,1.28572339635413
01/02/11,ATL,1.83195956653679
01/02/11,BUF,1.20399965932968
01/02/11,CAR,2.12548261784474
01/02/11,CHI,1.02630173791239
01/02/11,CIN,1.94794007188118
01/02/11,CLE,1.69155204712604
01/02/11,CLT,0.998640127628481
01/02/11,CRD,1.26428714261302
01/02/11,DAL,1.84618162322011
01/02/11,DEN,1.53801254236722
01/02/11,DET,2.1037216485078
01/02/11,GNB,1.14484000172523
01/02/11,HTX,1.56917134375721
01/02/11,JAX,2.06138511057354
01/02/11,KAN,1.38843645333632
01/02/11,MIA,1.18222697050826
01/02/11,MIN,1.24583709025974
01/02/11,NOR,1.77023408003818
01/02/11,NWE,2.97359666873276
01/02/11,NYG,1.00476203797215
01/02/11,NYJ,2.26129124502821
01/02/11,OTI,1.16105346597391
01/02/11,PHI,1.76848692607811
01/02/11,PIT,1.42896343780055
01/02/11,RAI,2.49253485298752
01/02/11,RAM,1.0502675556942
01/02/11,RAV,1.60384515826798
01/02/11,SDG,1.33128838237496
01/02/11,SEA,2.32886281327769
01/02/11,SFO,1.08621245036783
